Title,Author,Year,Units,Genres,BookId
Children Of Dune,Frank Herbert,1976,3,Science Fiction;Epic,73
Foundation,Isaac Asimov,1951,4,Science Fiction;Classic,74
Foundation And Empire,Isaac Asimov,1952,3,Science Fiction;Classic,75
Second Foundation,Isaac Asimov,1953,2,Science Fiction;Classic,76
Neuromancer,William Gibson,1984,3,Cyberpunk;Science Fiction,77
Count Zero,William Gibson,1986,2,Cyberpunk;Science Fiction,78
Mona Lisa Overdrive,William Gibson,1988,3,Cyberpunk;Science Fiction,79
Snow Crash,Neal Stephenson,1992,4,Cyberpunk;Science Fiction,80
Cryptonomicon,Neal Stephenson,1999,3,Thriller;Cyberpunk,81
The Diamond Age,Neal Stephenson,1995,2,Science Fiction;Cyberpunk,82
Good Omens,Neil Gaiman And Terry Pratchett,1990,4,Comedy;Fantasy,83
American Gods,Neil Gaiman,2001,5,Fantasy;Mythology,84
Coraline,Neil Gaiman,2002,3,Fantasy;Horror,85
Stardust,Neil Gaiman,1999,4,Fantasy;Romance,86
Neverwhere,Neil Gaiman,1996,2,Fantasy;Urban,87
The Sandman,Neil Gaiman,1989,5,Fiction;Fantasy;Comics,88
Uzumaki,Junji Ito,2000,4,Horror;Supernatural,89
The Hobbit,J R R Tolkien,1937,4,Fantasy;Adventure,90
The Lord Of The Rings,J R R Tolkien,1954,6,Fantasy;Epic,91
The Silmarillion,J R R Tolkien,1977,3,Fantasy;Mythology,92
Harry Potter And The Sorcerers Stone,J K Rowling,1997,6,Fantasy;Young Adult,93
Harry Potter And The Chamber Of Secrets,J K Rowling,1998,6,Fantasy;Young Adult,94
Harry Potter And The Prisoner Of Azkaban,J K Rowling,1999,6,Fantasy;Young Adult,95
Harry Potter And The Goblet Of Fire,J K Rowling,2000,6,Fantasy;Young Adult,96
Harry Potter And The Order Of The Phoenix,J K Rowling,2003,6,Fantasy;Young Adult,97
Harry Potter And The Half Blood Prince,J K Rowling,2005,6,Fantasy;Young Adult,98
Harry Potter And The Deathly Hallows,J K Rowling,2007,6,Fantasy;Young Adult,99
The Hunger Games,Suzanne Collins,2008,5,Dystopian;Young Adult,100
Uzumaki,Junji Ito,2000,4,Horror;Supernatural,101
